"","X","variable","label","type","has_value_labels","value_labels","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","scale_type","MainTheme","Subtheme"
"71",69,"Q21.6","Partidos políticos","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"72",70,"Q21.7","Organizaciones ciudadanas (OSC's)","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"73",71,"Q21.8","Universidades","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"74",72,"Q21.9","Empresarios","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"75",73,"Q21.10","Policía municipal","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"76",74,"Q21.11","Tránsito municipal","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"77",75,"Q21.12","Policía ministerial","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"78",76,"Q21.13","Policía estatal","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"79",77,"Q21.14","Ejército","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"80",78,"Q21.15","Guardia nacional","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"81",79,"Q21.16","Jueces o magistrados","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"82",80,"Q21.17","Presidente municipal(Cruz Pérez Cuellar)","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"83",81,"Q21.18","Regidores","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"84",82,"Q21.19","Síndico/a","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"85",83,"Q21.20","Funcionarios del gobierno municipal","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"86",84,"Q21.21","Gobernador/a (Maru Campos)","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"87",85,"Q21.22","Funcionarios del gobierno del estado","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"88",86,"Q21.23","Presidente de la república (Claudia Sheinbaum)","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"89",87,"Q21.24","Funcionarios del gobierno federal","Escala 1-5",TRUE,"1=Mucha desconfianza;2=Algo de desconfianza;3=Algo de confianza;4=Mucha confianza;5=NS/NC","","Mucha desconfianza","Algo de desconfianza","Algo de confianza","Mucha confianza","NS/NC","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo","Governance & Civic Engagement","Trust in Institutions"
"90",88,"Q22","Durante 2024, ¿realizo algun tramite ante el gobierno municipal? (PREDIAL, LICENCIA DE FUNCIONAMIENTO, USO DE SUELO, CARTA DE RESIDENCIA, PAGO DE MULTAS, ESTACIONÓMETROS, SERVICIOS PÚBLICOS, PERMISO DE CONSTRUCCIÓN, OTRO TRÁMITE MUNICIPAL)","Escala 1-2",TRUE,"1=Sí realizó por lo menos 1 trámite ante gobierno municipal;2=No realizó trámites municipales","","Sí realizó por lo menos 1 trámite ante gobierno municipal","No realizó trámites municipales","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"91",89,"Q23","Durante el 2024, Cuantos tramites ante el Gobierno MUNICIPAL hizo durante este tiempo?","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"92",90,"Q24","Durante 2024, ¿realizó trámite de PREDIAL?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"93",91,"Q24.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"94",92,"Q25","Durante 2024, ¿dio mordida o soborno para realizar el trámite? PREDIAL","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"95",93,"Q25.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"96",94,"Q26","En total, Cuanto dinero dio en sobornos por PREDIAL","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"97",95,"Q27","Durante 2024, ¿realizó trámite de LICENCIA DE FUNCIONAMIENTO?"," Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites:","","No","Sí, especifique cuántos trámites:","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"98",96,"Q27.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"99",97,"Q28","Durante 2024, ¿dio mordida o soborno para realizar el trámite? LICENCIA DE FUNCIONAMIENTO","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida:","","No","Sí, especifique cuántas veces dio mordida:","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"100",98,"Q28.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"101",99,"Q29","En total, cuanto dinero dio en sobornos por LICENCIA DE FUNCIONAMIENTO","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"102",100,"Q30","Durante 2024, Realizó trámite de USO DE SUELO?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites:","","No","Sí, especifique cuántos trámites:","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"103",101,"Q30.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"104",102,"Q31","Durante 2024, dio mordida o soborno para realizar el trámite? USO DE SUELO","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"105",103,"Q31.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"106",104,"Q32","En total, cuanto dinero dio en soborno por USO DE SUELO","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Governance & Civic Engagement","Public Integrity"
"107",105,"Q33","Durante 2024, ¿realizó trámite de CARTA DE RESIDENCIA?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"108",106,"Q33.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"109",107,"Q34","Durante 2024, ¿dio mordida o soborno para realizar el trámite? CARTA DE RESIDENCIA","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"110",108,"Q34.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"111",109,"Q35","En total, cuanto dinero dio en sobornos CARTA DE RESIDENCIA","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"112",110,"Q36","Durante 2024, ¿realizó trámite de PAGO DE MULTAS?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"113",111,"Q36.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"114",112,"Q37","Durante 2024, ¿dio mordida o soborno para realizar el trámite? PAGO DE MULTAS","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"115",113,"Q37.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"116",114,"Q38","En total, cuanto dinero dio en sobornos por PAGO DE MULTAS","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"117",115,"Q39","Durante 2024, ¿realizó trámite de ESTACIONÓMETROS?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"118",116,"Q39.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"119",117,"Q40","Durante 2024, ¿dio mordida o soborno para realizar el trámite? ESTACIONÓMETROS","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"120",118,"Q40.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"121",119,"Q41","En total, cuanto dinero dio en sobornos por ESTACIONÓMETROS","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"122",120,"Q42","Durante 2024, ¿realizó trámite de SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"123",121,"Q42.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"124",122,"Q43","Durante 2024, ¿dio mordida o soborno para realizar el trámite? SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"125",123,"Q43.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"126",124,"Q44","En total, cuanto dinero dio en sobornos por SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"127",125,"Q45","Durante 2024, ¿realizó trámite de PERMISO DE CONSTRUCCIÓN?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"128",126,"Q45.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"129",127,"Q46","Durante 2024, ¿dio mordida o soborno para realizar el trámite? PERMISO DE CONSTRUCCIÓN","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"130",128,"Q46.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"131",129,"Q47","En total, cuanto dinero dio en sobornos por PERMISO DE CONSTRUCCIÓN","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"132",130,"Q48","Durante 2024, ¿realizó Trámites/ denuncias por delitos ambientales? DIRECCIÓN DE ECOLOGÍA","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"133",131,"Q48.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"134",132,"Q49","Durante 2024, ¿dio mordida o soborno para realizar Trámites/ denuncias por delitos ambientales? DIRECCIÓN DE ECOLOGÍA","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"135",133,"Q49.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"136",134,"Q50","En total, cuanto dinero dio en sobornos por tramites/ multas medioambientales en DIRECCIÓN DE ECOLOGÍA","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"137",135,"Q51","Durante 2024, ¿realizó OTROS TRÁMITES MUNICIPALES?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"138",136,"Q51.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"139",137,"Q52","¿Cuál es el o los otros trámites municipales que realizó? (Escriba nombre de los trámites municipales).","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nominal (Abierta)","Governance & Civic Engagement","Public Integrity"
"140",138,"Q53","Durante 2024, ¿dio mordida o soborno para realizar el trámite? OTROS TRÁMITES MUNICIPALES","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"141",139,"Q53.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"142",140,"Q54","En total, cuanto dinero dio en sobornos por estos OTROS TRÁMITES MUNICIPALES","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"143",141,"Q55","Durante 2024, ¿realizó por lo menos 1 trámite ante gobierno estatal? (LICENCIA DE CONDUCIR, REGISTRO DE LA PROPIEDAD, PERMISO DE GOBERNACIÓN, IMPUESTO SOBRE NÓMINAS, RECAUDACIÓN DE RENTAS, SERVICIOS EDUCATIVOS, JMAS, OTRO TRÁMITE ESTATAL)","Escala 1-2",TRUE,"1=Sí realizó por lo menos 1 trámite ante gobierno estatal;2=No realizó trámites estatales","","Sí realizó por lo menos 1 trámite ante gobierno estatal","No realizó trámites estatales","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"144",142,"Q56","Durante el 2024, Cuantos tramites ante el Gobierno ESTATAL hizo durante este tiempo?","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"145",143,"Q57","Durante 2024, ¿realizó trámites de LICENCIA DE CONDUCIR?","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántos trámites","","No","Sí, especifique cuántos trámites","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"146",144,"Q57.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"147",145,"Q58","Durante 2024, ¿dio mordida o soborno para realizar el trámite? LICENCIA DE CONDUCIR","Escala 1-2",TRUE,"1=No;2=Sí, especifique cuántas veces dio mordida","","No","Sí, especifique cuántas veces dio mordida","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Public Integrity"
"148",146,"Q58.1.1","Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
"149",147,"Q59","En total, cuanto dinero dio en sobornos por LICENCIA DE CONDUCIR","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon","Governance & Civic Engagement","Public Integrity"
