"","variable","label","type","has_value_labels","value_labels","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","scale_type","notes"
"81","Q57.3","Cuidado (limpieza y mantenimiento)","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"82","Q57.4","Seguridad","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"83","Q58","En una escala del 1 al 10, en que estado considera que se encuentran las UNIDADES DEPORTIVAS?","Escala 1-10",TRUE,"0=No tiene;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","No tiene","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"84","Q59","En una escala del 1 al 10, en qué estado considera que se encuentran las BIBLIOTECAS?","Escala 1-10",TRUE,"0=No tiene;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","No tiene","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"85","Q60","En una escala del 1 al 10, en que estado considera que se encuentran las CENTROS COMUNITARIOS?","Escala 1-10",TRUE,"0=No tiene;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","No tiene","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"86","Q61","En una escala del 1 al 10, en qué estado considera que se encuentran las BANQUETAS?","Escala 1-10",TRUE,"0=No tiene;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","No tiene","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"87","Q62","En una escala del 1 al 10, en que estado considera que se encuentran los ESPACIOS PARA PERSONAS CON DISCAPACIDAD?","Escala 1-10",TRUE,"0=No tiene;1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=NS/NC","No tiene","1","2","3","4","5","6","7","8","9","10","NS/NC","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"88","Q63","En el último año (2024), con que frecuencia penso en irse de la ciudad?","Escala 1-5",TRUE,"1=Muchas veces;2=Algunas veces;3=Pocas veces;4=Nunca;5=NS/NC","","Muchas veces","Algunas veces","Pocas veces","Nunca","NS/NC","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"89","Q64.1","La ciudad en la que vive","Escala 1-5",TRUE,"1=Nada;2=Poco;3=Algo;4=Bastante;5=Mucho","","Nada","Poco","Algo","Bastante","Mucho","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"90","Q64.2","La colona o fraccionamiento en el que vive","Escala 1-5",TRUE,"1=Nada;2=Poco;3=Algo;4=Bastante;5=Mucho;8= ","","Nada","Poco","Algo","Bastante","Mucho","",""," ","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"91","Q64.3","Los vecinos que tiene","Escala 1-5",TRUE,"1=Nada;2=Poco;3=Algo;4=Bastante;5=Mucho","","Nada","Poco","Algo","Bastante","Mucho","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"92","Q65","(HOMOLOGACION) Mencione un LUGAR / EDIFICIO / MONUMENTO que considere representativo de Juarez","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"93","Q66","Cuantos vehiculos de motor hay disponibles en su hogar? (Si no tiene ninguno, poner 0)","Numérico",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"94","Q67","En su hogar hay algún tipo de bicicletas? (ya sean de niño, adolescente o adulto)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"95","Q68","Cuantas bicicletas para NIÑOS hay disponibles en su hogar? (poner 0 si no se cuenta con ninguna de este tipo)","Numérico",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"96","Q69","Cuantas bicicletas para ADOLESCENTES hay disponibles en su hogar? (poner 0 si no se cuenta con ninguna de este tipo)","Numérico",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"97","Q70","Cuantas bicicletas para ADULTOS hay disponibles en su hogar? (poner 0 si no se cuenta con ninguna de este tipo)","Numérico",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Razon",NA
"98","Q71","Usted trabaja o realiza alguna actividad que le genere ingresos?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"99","Q72.1","Caminando","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"100","Q72.2","Bicicleta","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"101","Q72.3","Autobús escolar","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"102","Q72.4","Autobús especial (transporte de personal)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"103","Q72.5","Taxi","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"104","Q72.6","Uber/Didi/InDriver o cualquier otro servicio por aplicación","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"105","Q72.7","Motocicleta","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"106","Q72.8","Vehículo propio","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"107","Q72.9","Camion/Rutera/ Autobus","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"108","Q72.10","Juarez Bus (antes ViveBus, BravoBus, Ecobus)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"109","Q72.11","Otro medio (cuál):","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"110","Q72.11.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"111","Q73.1","Caminando","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"112","Q73.2","Bicicleta","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"113","Q73.3","Autobús escolar","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"114","Q73.4","Autobús especial (transporte de personal)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"115","Q73.5","Taxi","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"116","Q73.6","Uber/Didi/InDriver o cualquier otro servicio por aplicación","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"117","Q73.7","Motocicleta","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"118","Q73.8","Vehículo propio","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"119","Q73.9","Camión/Rutera/Autobus","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"120","Q73.10","Juarez Bus (antes ViveBus, BravoBus, Ecobus)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"121","Q73.11","Otro medio (cuál):","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"122","Q73.11.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"123","Q74","Usted utiliza el camión o rutera tradicional? (NO eco bus, bravo bus, vive bus, juarez bus)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"124","Q75","En una escala del 1 al 10, que tan satisfecho está con la calidad del servicio del camión/rutera?","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10","","1","2","3","4","5","6","7","8","9","10","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"125","Q76.1","Tiempo de espera de los camiones (tardan en pasar o no pasan)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"126","Q76.2","Estado de la unidad (limpieza, asientos, ventanas)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"127","Q76.3","Estado de la parada de camión","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"128","Q76.4","Trato de los choferes","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"129","Q76.5","Conducción de la unidad por parte del chofer (van muy rápido, omiten señalamientos)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"130","Q76.6","Tarifa (costos muy altos, no respetan descuentos)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"131","Q76.7","Otro (especifique):","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"132","Q76.7.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"133","Q77","Usted utiliza el transporte semimasivo  (BravoBus/EcoBus/ViveBus/Juarez bus)?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"134","Q78","En una escala del 1 al 10, que tan satisfecho está con la calidad del servicio del BravoBus/EcoBus/ViveBus/Juarez Bus)?","Escala 1-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"135","Q79.1","Tiempo de espera de los camiones (tardan en pasar o no pasan)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"136","Q79.2","Estado de la unidad (limpieza, asientos, ventanas)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"137","Q79.3","Estado de la parada de camión","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"138","Q79.4","Trato de los choferes","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"139","Q79.5","Conducción de la unidad por parte del chofer (van muy rápido, omiten señalamientos)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"140","Q79.6","Tarifa (costos muy altos, no respetan descuentos)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"141","Q79.7","Otro (especifique):","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"142","Q79.7.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"143","Q80","Que tanto cree que nosotros los ciudadanos estemos orgullosos de ser o vivir en Ciudad Juarez?","Escala 1-5",TRUE,"1=Nada;2=Poco;3=Algo;4=Mucho;5=Ns/Nc","","Nada","Poco","Algo","Mucho","Ns/Nc","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"144","Q81","Para usted, cuales son los 2 problemas mas importantes de Juarez? PROBLEMA #1","Escala 1-19",TRUE,"1=Servicios básicos;2=Drogadicción;3=Transporte público;4=Falta de hospitales/clínicas de salud;5=Inseguridad/Violencia;6=Pobreza;7=Corrupción;8=Falta de valores;9=Desempleo;10=Economia/Crisis;11=Impunidad;12=Participación ciudadana en la resolución de problemas y/o exigencias de justicia;13=Alumbrado público;14=Covid 19;15=Calles y pavimentación;16=Drenaje pluvial;17=Infraestructura;18=Problemas medio ambientales(agua, aire, basura);19=Otro (especificar cuál)","","Servicios básicos","Drogadicción","Transporte público","Falta de hospitales/clínicas de salud","Inseguridad/Violencia","Pobreza","Corrupción","Falta de valores","Desempleo","Economia/Crisis","Impunidad","Participación ciudadana en la resolución de problemas y/o exigencias de justicia","Alumbrado público","Covid 19","Calles y pavimentación","Drenaje pluvial","Infraestructura","Problemas medio ambientales(agua, aire, basura)","Otro (especificar cuál)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"145","Q81.1.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"146","Q82","Para usted, cuales son los 2 problemas mas importantes de Juarez? PROBLEMA #2","Escala 1-19",TRUE,"1=Servicios básicos;2=Drogadicción;3=Transporte público;4=Falta de hospitales/clínicas de salud;5=Inseguridad/Violencia;6=Pobreza;7=Corrupción;8=Falta de valores;9=Desempleo;10=Economia/Crisis;11=Impunidad;12=Participación ciudadana en la resolución de problemas y/o exigencias de justicia;13=Alumbrado público;14=Covid 19;15=Calles y pavimentación;16=Drenaje pluvial;17=Infraestructura;18=Problemas medio ambientales(agua, aire, basura);19=Otro (especificar cuál)","","Servicios básicos","Drogadicción","Transporte público","Falta de hospitales/clínicas de salud","Inseguridad/Violencia","Pobreza","Corrupción","Falta de valores","Desempleo","Economia/Crisis","Impunidad","Participación ciudadana en la resolución de problemas y/o exigencias de justicia","Alumbrado público","Covid 19","Calles y pavimentación","Drenaje pluvial","Infraestructura","Problemas medio ambientales(agua, aire, basura)","Otro (especificar cuál)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"147","Q82.1.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"148","Q83","Que tan responsable se siente de ser parte del primer problema que menciono?","Escala 1-5",TRUE,"1=Nada;2=Poco;3=Algo;4=Mucho;5=Ns/Nc","","Nada","Poco","Algo","Mucho","Ns/Nc","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"149","Q84","En el ultimo año (2024), siente que sus garantías o derechos han sido violentados por alguna autoridad o dependencia gubernamental?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"150","Q85","(HOMOLOGACION) Qué autoridad o dependencia gubernamental fue?","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"151","Q86","(HOMOLOGACION) En pocas palabras, en que consistio la violacion a sus derechos?","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"152","Q87","Por distintos motivos, no todas las personas que habitan en Juarez pueden acceder en condiciones de igualdad a los bienes y servicios, ni tienen las mismas oportunidades en la vida. Como describiría la desigualdad que se vive hoy en día?","Escala 1-6",TRUE,"1=Muy alta;2=Alta;3=Media;4=Baja;5=Muy baja;6=No sabe/No contestó","","Muy alta","Alta","Media","Baja","Muy baja","No sabe/No contestó","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"153","Q88","Que institución contribuye mas a reducir la desigualdad en Juarez? (SELECCIONE LA QUE MÁS LO HACE)","Escala 1-11",TRUE,"1=Gobierno Federal;2=Gobierno Municipal;3=Gobierno Estatal;4=Organizaciones de la sociedad civil;5=Empresas;6=Iglesias;7=Universidades;8=Escuelas (primaria, secundaria, preparatoria);9=La misma ciudadanía;10=Ninguna;11=No sabe/ No contestó","","Gobierno Federal","Gobierno Municipal","Gobierno Estatal","Organizaciones de la sociedad civil","Empresas","Iglesias","Universidades","Escuelas (primaria, secundaria, preparatoria)","La misma ciudadanía","Ninguna","No sabe/ No contestó","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"154","Q89","En una escala del 1 al 10, que tan satisfecho está con LA CALIDAD DEL AIRE?","Escala 1-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"155","Q90","En una escala del 1 al 10, qué tan satisfecho está con LA CANTIDAD DE ÁRBOLES EN LA CIUDAD?","Escala 1-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"156","Q91","En una escala del 1 al 10, que tan satisfecho esta con LA LIMPIEZA EN LAS CALLES (basura en las calles)?","Escala 1-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"157","Q92","En una escala del 1 al 10, que tan satisfecho esta con LA CALIDAD DEL AGUA? (CONSIDERAR SI ESTÁ SUCIA, CONTAMINADA O TIENE MAL SABOR)","Escala 1-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"158","Q93","Acostumbran separar la basura en organica e inorganica antes de entregarla al camion o dejarla en el contenedor?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"159","Q94","Además, Acostumbran a separar desperdicios para alimentar animales?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"160","Q95","Además, acostumbran a separar desperdicios para echarlos a las plantas?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"161","Q96","Además, acostumbran a separar cartón, latas o plástico para vender o regalar?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"162","Q97","De las siguientes problemáticas medioambientales, cual cree que sea el mayor problema de la colonia? (Elija solo una)","Escala 1-7",TRUE,"1=Neumaticos/ llantas tiradas;2=Calles sucias/ Basura en las calles;3=Parque sucios/descuidados;4=Falta de recoleccion de residuos;5=Basureros Clandestinos/ Casas/terrenos;6=Terrenos baldios;7=Otro","","Neumaticos/ llantas tiradas","Calles sucias/ Basura en las calles","Parque sucios/descuidados","Falta de recoleccion de residuos","Basureros Clandestinos/ Casas/terrenos","Terrenos baldios","Otro","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"163","Q97.1.1","(HOMOLOGACION) Other","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"164","Q98","Conoce o ha escuchado hablar de Plan Estratégico de Juarez A.C.? SIN APOYO VISUAL","Escala 1-2",TRUE,"1=Sí recordó sin apoyo visual;2=No recordó sin apoyo visual","","Sí recordó sin apoyo visual","No recordó sin apoyo visual","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"165","Q99","Conoce o ha escuchado hablar de Plan Estratégico de Juarez A.C.? CON APOYO VISUAL","Escala 1-2",TRUE,"1=Sí recordó con apoyo visual;2=No recordó con apoyo visual","","Sí recordó con apoyo visual","No recordó con apoyo visual","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"166","Q100.1","PEJ es una asociación apartidista y ciudadana","Escala 1-5",TRUE,"1=Totalmente de acuerdo;2=Parcialmente de acuerdo;3=Parcialmente en desacuerdo;4=Totalmente en desacuerdo;5=NS/NC","","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","NS/NC","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
