variable,label,type,has_value_labels,value_labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Q22.10,Policía municipal,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.11,Tránsito municipal,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.12,Policía ministerial,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.13,Policía estatal,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.14,Ejército,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.15,Guardia nacional,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.16,Jueces o magistrados,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.17,Presidente municipal(Cruz Pérez Cuellar),haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.18,Regidores,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.19,Síndico/a,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.20,Funcionarios del gobierno municipal,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.21,Gobernador/a (Maru Campos),haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.22,Funcionarios del gobierno del estado,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.23,Presidente de la república,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q22.24,Funcionarios del gobierno federal,haven_labelled,TRUE,1 = Mucha desconfianza; 2 = Algo de desconfianza; 3 = Algo de confianza; 4 = Mucha confianza; 5 = NS/NC,NA,Mucha desconfianza,Algo de desconfianza,Algo de confianza,Mucha confianza,NS/NC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q23,"Durante 2023, ¿realizó algun tramite ante el gobierno municipal? (PREDIAL, LICENCIA DE FUNCIONAMIENTO, USO DE SUELO, CARTA DE RESIDENCIA, PAGO DE MULTAS, ESTACIONÓMETROS, SERVICIOS PÚBLICOS, PERMISO DE CONSTRUCCIÓN, OTRO TRÁMITE MUNICIPAL)",haven_labelled,TRUE,1 = Sí realizó algun trámite municipal; 2 = No realizó trámites municipales,NA,Sí realizó algun trámite municipal,No realizó trámites municipales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q24,"Durante el 2023, Cuantos tramites ante el Gobierno MUNICIPAL hizo durante este tiempo?",numeric,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q25,"Durante 2023, ¿realizó trámite de PREDIAL?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q25.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q26,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? PREDIAL",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q26.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q27,"En total, Cuanto dinero dio en sobornos por PREDIAL",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q28,"Durante 2023, ¿realizó trámite de LICENCIA DE FUNCIONAMIENTO?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q28.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q29,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? LICENCIA DE FUNCIONAMIENTO",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q29.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q30,"En total, cuanto dinero dio en sobornos por LICENCIA DE FUNCIONAMIENTO",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q31,"Durante 2023, Realizó trámite de USO DE SUELO?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q31.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q32,"Durante 2023, dio mordida o soborno para realizar el trámite? USO DE SUELO",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q32.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q33,"En total, cuanto dinero dio en soborno por USO DE SUELO",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q34,"Durante 2023, ¿realizó trámite de CARTA DE RESIDENCIA?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q34.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q35,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? CARTA DE RESIDENCIA",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q35.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q36,"En total, cuanto dinero dio en sobornos CARTA DE RESIDENCIA",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q37,"Durante 2023, ¿realizó trámite de PAGO DE MULTAS?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q37.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q38,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? PAGO DE MULTAS",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q38.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q39,"En total, cuanto dinero dio en sobornos por PAGO DE MULTAS",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q40,"Durante 2023, ¿realizó trámite de ESTACIONÓMETROS?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q40.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q41,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? ESTACIONÓMETROS",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q41.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q42,"En total, cuanto dinero dio en sobornos por ESTACIONÓMETROS",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q43,"Durante 2023, ¿realizó trámite de SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q43.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q44,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q44.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q45,"En total, cuanto dinero dio en sobornos por SERVICIOS PÚBLICOS (LIMPIA, LUZ, PARQUES)",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q46,"Durante 2023, ¿realizó trámite de PERMISO DE CONSTRUCCIÓN?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q46.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q47,"Durante 2023, ¿dio mordida o soborno para realizar el trámite? PERMISO DE CONSTRUCCIÓN",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q47.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q48,"En total, cuanto dinero dio en sobornos por PERMISO DE CONSTRUCCIÓN",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q49,"Durante 2023, ¿realizó Trámites/ denuncias por delitos ambientales? DIRECCIÓN DE ECOLOGÍA",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q49.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q50,"Durante 2023, ¿dio mordida o soborno para realizar Trámites/ denuncias por delitos ambientales? DIRECCIÓN DE ECOLOGÍA",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q50.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q51,"En total, cuanto dinero dio en sobornos por tramites/ multas medioambientales en DIRECCIÓN DE ECOLOGÍA",numeric,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q52,"Durante 2023, ¿realizó OTROS TRÁMITES MUNICIPALES?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q52.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q53,¿Cuál es el o los otros trámites municipales que realizó? (Escriba nombre de los trámites municipales).,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q54,"Durante 2023, dio mordida o soborno para realizar el trámite? OTROS TRÁMITES MUNICIPALES",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q54.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q55,"En total, cuanto dinero dio en sobornos por estos OTROS TRÁMITES MUNICIPALES",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q56,"Durante 2023, ¿realizó por lo menos 1 trámite ante gobierno estatal? (LICENCIA DE CONDUCIR, REGISTRO DE LA PROPIEDAD, PERMISO DE GOBERNACIÓN, IMPUESTO SOBRE NÓMINAS, RECAUDACIÓN DE RENTAS, SERVICIOS EDUCATIVOS, JMAS, OTRO TRÁMITE ESTATAL)",haven_labelled,TRUE,1 = Sí realizó por lo menos 1 trámite ante gobierno estatal; 2 = No realizó trámites estatales,NA,Sí realizó por lo menos 1 trámite ante gobierno estatal,No realizó trámites estatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q57,"Durante el 2023, Cuantos tramites ante el Gobierno ESTATAL hizo durante este tiempo?",numeric,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q58,"Durante 2023, realizo trámites de LICENCIA DE CONDUCIR?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q58.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q59,"Durante 2023, dio mordida o soborno para realizar el trámite? LICENCIA DE CONDUCIR",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántas veces dio mordida:",NA,No,"Sí, especifique cuántas veces dio mordida:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q59.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q60,"En total, cuanto dinero dio en sobornos por LICENCIA DE CONDUCIR",character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q61,"Durante 2023, realizo trámites de REGISTRO PÚBLICO DE LA PROPIEDAD?",haven_labelled,TRUE,"1 = No; 2 = Sí, especifique cuántos trámites:",NA,No,"Sí, especifique cuántos trámites:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q61.1.1,Other,character,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
